movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Avengers: Endgame,"$2,797,501,328.00","$858,373,000.00",30.70%,"$1,939,128,328.00",69.30%
Star Wars: Episode VII - The Force Awakens,"$2,068,223,624.00","$936,662,225.00",45.30%,"$1,131,561,399.00",54.70%
Avengers: Infinity War,"$2,048,359,754.00","$678,815,482.00",33.10%,"$1,369,544,272.00",66.90%
Spider-Man: No Way Home,"$1,906,693,477.00","$804,793,477.00",42.20%,"$1,101,900,000.00",57.80%
Jurassic World,"$1,670,400,637.00","$652,270,625.00",39%,"$1,018,130,012.00",61%
The Lion King,"$1,656,943,394.00","$543,638,043.00",32.80%,"$1,113,305,351.00",67.20%
The Avengers,"$1,518,812,988.00","$623,357,910.00",41%,"$895,455,078.00",59%
Furious 7,"$1,515,047,671.00","$353,007,020.00",23.30%,"$1,162,040,651.00",76.70%
Top Gun: Maverick,"$1,488,732,821.00","$718,732,821.00",48.30%,"$770,000,000.00",51.70%
Frozen II,"$1,450,026,933.00","$477,373,578.00",32.90%,"$972,653,355.00",67.10%
Avengers: Age of Ultron,"$1,402,805,868.00","$459,005,868.00",32.70%,"$943,800,000.00",67.30%
Black Panther,"$1,346,913,161.00","$700,059,566.00",52%,"$646,853,595.00",48%
Harry Potter and the Deathly Hallows: Part 2,"$1,341,511,219.00","$381,011,219.00",28.40%,"$960,500,000.00",71.60%
Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889.00","$620,181,382.00",46.50%,"$712,358,507.00",53.50%
Jurassic World: Fallen Kingdom,"$1,308,467,944.00","$417,719,760.00",31.90%,"$890,748,184.00",68.10%
Frozen,"$1,280,802,282.00","$400,738,009.00",31.30%,"$880,064,273.00",68.70%
Beauty and the Beast,"$1,263,521,126.00","$504,014,165.00",39.90%,"$759,506,961.00",60.10%
Incredibles 2,"$1,242,805,359.00","$608,581,744.00",49%,"$634,223,615.00",51%
The Fate of the Furious,"$1,236,005,118.00","$226,008,385.00",18.30%,"$1,009,996,733.00",81.70%
Iron Man 3,"$1,214,811,252.00","$409,013,994.00",33.70%,"$805,797,258.00",66.30%
Minions,"$1,159,398,397.00","$336,045,770.00",29%,"$823,352,627.00",71%
Captain America: Civil War,"$1,153,296,293.00","$408,084,349.00",35.40%,"$745,211,944.00",64.60%
Aquaman,"$1,148,461,807.00","$335,061,807.00",29.20%,"$813,400,000.00",70.80%
Spider-Man: Far from Home,"$1,131,927,996.00","$390,532,085.00",34.50%,"$741,395,911.00",65.50%
Captain Marvel,"$1,128,274,794.00","$426,829,839.00",37.80%,"$701,444,955.00",62.20%
Transformers: Dark of the Moon,"$1,123,794,079.00","$352,390,543.00",31.40%,"$771,403,536.00",68.60%
Skyfall,"$1,108,561,013.00","$304,360,277.00",27.50%,"$804,200,736.00",72.50%
Transformers: Age of Extinction,"$1,104,054,072.00","$245,439,076.00",22.20%,"$858,614,996.00",77.80%
Avatar: The Way of Water,"$1,100,800,853.00","$338,000,853.00",30.70%,"$762,800,000.00",69.30%
The Dark Knight Rises,"$1,081,041,287.00","$448,139,099.00",41.50%,"$632,902,188.00",58.50%
Joker,"$1,074,251,311.00","$335,451,311.00",31.20%,"$738,800,000.00",68.80%
Star Wars: Episode IX - The Rise of Skywalker,"$1,074,144,248.00","$515,202,542.00",48%,"$558,941,706.00",52%
Toy Story 4,"$1,073,394,593.00","$434,038,008.00",40.40%,"$639,356,585.00",59.60%
Toy Story 3,"$1,066,969,703.00","$415,004,880.00",38.90%,"$651,964,823.00",61.10%
Rogue One: A Star Wars Story,"$1,056,057,273.00","$532,177,324.00",50.40%,"$523,879,949.00",49.60%
Aladdin,"$1,050,693,953.00","$355,559,216.00",33.80%,"$695,134,737.00",66.20%
Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802.00","$241,071,802.00",23.10%,"$804,642,000.00",76.90%
Despicable Me 3,"$1,034,799,409.00","$264,624,300.00",25.60%,"$770,175,109.00",74.40%
Finding Dory,"$1,028,570,889.00","$486,295,561.00",47.30%,"$542,275,328.00",52.70%
Alice in Wonderland,"$1,025,467,110.00","$334,191,110.00",32.60%,"$691,276,000.00",67.40%
Zootopia,"$1,023,784,195.00","$341,268,248.00",33.30%,"$682,515,947.00",66.70%
The Hobbit: An Unexpected Journey,"$1,017,003,568.00","$303,003,568.00",29.80%,"$714,000,000.00",70.20%
Jurassic World: Dominion,"$1,001,136,080.00","$376,009,080.00",37.60%,"$625,127,000.00",62.40%
Harry Potter and the Deathly Hallows: Part 1,"$976,536,918.00","$295,983,305.00",30.30%,"$680,553,613.00",69.70%
Despicable Me 2,"$970,766,005.00","$368,065,385.00",37.90%,"$602,700,620.00",62.10%
The Jungle Book,"$966,550,600.00","$364,001,123.00",37.70%,"$602,549,477.00",62.30%
Jumanji: Welcome to the Jungle,"$962,077,546.00","$404,515,480.00",42%,"$557,562,066.00",58%
The Hobbit: The Desolation of Smaug,"$958,366,855.00","$258,366,855.00",27%,"$700,000,000.00",73%
The Hobbit: The Battle of the Five Armies,"$956,019,788.00","$255,119,788.00",26.70%,"$700,900,000.00",73.30%
Doctor Strange in the Multiverse of Madness,"$955,775,804.00","$411,331,607.00",43%,"$544,444,197.00",57%
Minions: The Rise of Gru,"$939,433,210.00","$369,500,210.00",39.30%,"$569,933,000.00",60.70%
Bohemian Rhapsody,"$903,655,259.00","$216,428,042.00",24%,"$687,227,217.00",76%
The Battle at Lake Changjin,"$902,548,476.00","$342,411.00",<0.1%,"$902,206,065.00",100%
Spectre,"$880,674,609.00","$200,074,609.00",22.70%,"$680,600,000.00",77.30%
Spider-Man: Homecoming,"$880,166,924.00","$334,201,140.00",38%,"$545,965,784.00",62%
Ice Age: Continental Drift,"$877,244,782.00","$161,321,843.00",18.40%,"$715,922,939.00",81.60%
The Secret Life of Pets,"$875,457,937.00","$368,384,330.00",42.10%,"$507,073,607.00",57.90%
Batman v Superman: Dawn of Justice,"$873,634,919.00","$330,360,194.00",37.80%,"$543,274,725.00",62.20%
Wolf Warrior 2,"$870,325,439.00","$2,721,100.00",0.30%,"$867,604,339.00",99.70%
The Hunger Games: Catching Fire,"$865,011,746.00","$424,668,047.00",49.10%,"$440,343,699.00",50.90%
Guardians of the Galaxy Vol. 2,"$863,756,051.00","$389,813,101.00",45.10%,"$473,942,950.00",54.90%
Inside Out,"$857,611,174.00","$356,461,711.00",41.60%,"$501,149,463.00",58.40%
Venom,"$856,085,151.00","$213,515,506.00",24.90%,"$642,569,645.00",75.10%
Thor: Ragnarok,"$853,977,126.00","$315,058,289.00",36.90%,"$538,918,837.00",63.10%
The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820.00","$292,324,737.00",35.20%,"$537,422,083.00",64.80%
Inception,"$826,137,188.00","$292,576,195.00",35.40%,"$533,560,993.00",64.60%
"Hi, Mom","$822,009,764.00",-,-,"$822,009,764.00",100%
Wonder Woman,"$821,847,012.00","$412,563,408.00",50.20%,"$409,283,604.00",49.80%
Fantastic Beasts and Where to Find Them,"$814,037,575.00","$234,037,575.00",28.80%,"$580,000,000.00",71.20%
Coco,"$807,816,196.00","$210,460,015.00",26.10%,"$597,356,181.00",73.90%
Black Panther: Wakanda Forever,"$806,857,711.00","$431,554,851.00",53.50%,"$375,302,860.00",46.50%
Jumanji: The Next Level,"$801,693,929.00","$320,314,960.00",40%,"$481,378,969.00",60%
Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794.00","$172,558,876.00",21.70%,"$622,302,918.00",78.30%
